Secs,IMUok,IMUcal,roll,pitch,yaw,accLong,accTrans,accVert,DVLok,Vbow,Vstar,Vport,Vstern,Rbow,Rstar,Rport,Rstern,Sbow,Sstar,Sport,Sstern
0.050000,0,x,-0.866129,-4.767927,208.923514,-0.550000,0.430000,0.250000,0.250000,-0.105546,0.013729,-0.081391,0.086741,1.227154,3.909769,1.327039,1.269961,L,L,L,L,
0.050000,0,x,-0.856327,-4.504363,208.875225,-0.030000,-0.080000,-0.290000,-0.290000,-0.085122,-0.114841,-0.053829,0.032316,1.212885,6.121500,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.798364,-4.430379,208.806185,-0.530000,0.260000,-0.070000,-0.070000,-0.076409,0.077547,-0.008630,0.106525,1.212885,1.212885,1.255692,1.255692,L,L,L,L,
0.050000,0,x,-0.683846,-4.580233,208.717816,-0.630000,0.290000,0.320000,0.320000,-0.085847,0.031270,-0.025689,0.096121,1.227154,1.212885,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.629397,-4.579413,208.635827,-0.480000,-0.090000,-0.100000,-0.100000,-0.048930,0.001924,0.151134,0.056494,1.212885,1.198615,2.511384,1.227154,L,L,L,L,
0.050000,0,x,-0.604634,-4.578621,208.532964,-0.010000,0.140000,-0.120000,-0.120000,-0.051043,-0.001693,-0.054006,0.004077,1.198615,1.198615,1.255692,1.227154,L,L,L,L,
0.050000,0,x,-0.605330,-4.656157,208.384025,-0.500000,0.220000,-0.180000,-0.180000,-0.015067,0.007124,-0.019152,0.069544,1.212885,1.212885,1.241423,1.227154,L,L,L,L,
0.050000,0,x,-0.577335,-4.884122,208.190499,-0.540000,0.100000,-0.200000,-0.200000,-0.048697,0.046636,-0.064007,0.070176,1.212885,1.241423,1.227154,1.227154,L,L,L,L,
0.050000,0,x,-0.591692,-5.006901,207.976099,-0.630000,0.090000,0.360000,0.360000,-0.113608,-0.006944,-0.046822,-0.004546,2.411500,1.212885,1.212885,1.227154,L,L,L,L,
0.050000,0,x,-0.665329,-4.985290,207.727890,-0.360000,0.060000,-0.000000,-0.000000,-0.018782,0.018294,0.119653,-0.039901,1.227154,1.241423,1.227154,1.227154,L,L,L,L,
0.050000,0,x,-0.680132,-5.034413,207.433372,-0.530000,0.150000,-0.100000,-0.100000,-0.000293,0.008256,0.043676,-0.098088,1.212885,1.227154,1.284231,1.227154,L,L,L,L,
0.050000,0,x,-0.660902,-5.168531,207.124224,-0.500000,0.280000,0.140000,0.140000,0.035967,-0.012831,0.150413,-0.182399,1.198615,1.212885,1.284231,6.249923,L,L,L,L,
0.050000,0,x,-0.633380,-5.186098,206.836058,-0.500000,0.050000,0.190000,0.190000,-0.006990,0.011183,0.162003,0.139109,1.184346,1.212885,1.284231,1.227154,L,L,L,L,
0.050000,0,x,-0.628526,-5.137085,206.553739,-0.090000,-0.310000,-0.020000,-0.020000,0.027245,-0.003248,0.072551,0.038030,1.184346,1.212885,1.298500,1.227154,L,L,L,L,
0.050000,0,x,-0.614167,-4.984525,206.212735,-0.880000,0.280000,-0.070000,-0.070000,0.031928,-0.040307,0.009514,-0.026225,1.212885,1.212885,2.397231,1.241423,L,L,L,L,
0.050000,0,x,-0.611974,-4.806394,205.872196,-0.060000,0.050000,-0.170000,-0.170000,0.052241,-0.002420,0.014436,-0.029662,1.212885,1.212885,1.284231,1.241423,L,L,L,L,
0.050000,0,x,-0.589253,-4.710553,205.554893,-0.220000,0.000000,-0.030000,-0.030000,0.076007,0.082286,0.046099,-0.066837,1.198615,1.212885,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-0.598454,-4.600232,205.223628,-0.590000,0.170000,-0.050000,-0.050000,0.067762,-0.052126,0.002994,-0.066353,1.198615,1.255692,1.284231,1.227154,L,L,L,L,
0.050000,0,x,-0.603207,-4.474720,204.892132,-0.200000,0.170000,-0.110000,-0.110000,0.067176,-0.030859,0.138168,-0.028594,1.198615,1.212885,1.227154,1.227154,L,L,L,L,
0.050000,0,x,-0.665598,-4.305168,204.598284,-0.510000,-0.010000,-0.220000,-0.220000,0.044767,-0.013098,0.013072,0.253301,1.184346,1.227154,1.241423,3.852692,L,L,L,L,
0.050000,0,x,-0.715170,-4.196595,204.268508,-0.200000,0.080000,-0.170000,-0.170000,0.080103,-0.043644,0.047610,-0.110852,1.227154,1.212885,1.269961,1.269961,L,L,L,L,
0.050000,0,x,-0.776059,-4.155778,204.005532,-0.190000,-0.070000,0.020000,0.020000,0.143863,-0.017918,0.040459,-0.059559,1.212885,1.227154,1.255692,1.269961,L,L,L,L,
0.050000,0,x,-0.828328,-4.126654,203.706589,-0.080000,0.090000,-0.220000,-0.220000,0.124855,0.082794,-0.003244,-0.132646,1.227154,1.198615,1.284231,1.227154,L,L,L,L,
0.050000,0,x,-0.896330,-4.151406,203.452588,-0.150000,0.050000,-0.020000,-0.020000,-0.029908,-0.048757,0.010294,-0.133064,2.440038,1.241423,1.227154,1.241423,L,L,L,L,
0.050000,0,x,-0.929399,-4.211075,203.175624,-0.160000,0.380000,-0.010000,-0.010000,0.138351,-0.052060,0.040699,-0.180332,1.198615,1.255692,1.255692,1.269961,L,L,L,L,
0.050000,0,x,-0.929167,-4.328281,202.913044,-0.130000,-0.070000,-0.370000,-0.370000,0.137177,-0.029133,0.008573,-0.107049,1.198615,4.823000,1.269961,1.241423,L,L,L,L,
0.050000,0,x,-0.889773,-4.359126,202.648237,-0.350000,0.140000,-0.160000,-0.160000,0.150204,-0.068826,0.075210,-0.134869,1.184346,1.198615,1.227154,1.227154,L,L,L,L,
0.050000,0,x,-0.899864,-4.207742,202.411339,0.510000,-0.090000,-0.440000,-0.440000,0.111497,-0.152111,0.033799,-0.173083,1.198615,1.212885,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-0.900540,-4.048735,202.266006,0.460000,-0.170000,-0.040000,-0.040000,0.064577,-0.045995,-0.088369,-0.118334,1.170077,1.241423,1.212885,1.312769,L,L,L,L,
0.050000,0,x,-0.897943,-3.753999,202.146983,0.150000,0.330000,0.460000,0.460000,0.141356,-0.060795,0.063400,0.041418,1.198615,1.198615,1.255692,2.440038,L,L,L,L,
0.050000,0,x,-0.885474,-3.715367,202.103735,0.820000,-0.270000,-0.220000,-0.220000,0.084529,-0.077513,0.121486,-0.080553,1.184346,1.227154,1.255692,2.425769,L,L,L,L,
0.050000,0,x,-0.842750,-3.841152,202.004437,0.050000,0.090000,-0.170000,-0.170000,0.123567,-0.052486,-0.017699,-0.165668,1.184346,1.227154,1.255692,1.284231,L,L,L,L,
0.050000,0,x,-0.854002,-3.919535,201.848914,-0.000000,0.080000,-0.060000,-0.060000,0.132793,-0.068216,0.017162,-0.133392,1.198615,1.198615,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-0.905306,-3.976991,201.687762,0.250000,0.100000,-0.150000,-0.150000,0.113334,-0.241452,0.002296,-0.087254,1.198615,1.198615,1.212885,1.269961,L,L,L,L,
0.050000,0,x,-0.975116,-4.038899,201.591853,0.800000,-0.130000,-0.380000,-0.380000,0.157135,-0.054808,0.005142,-0.149856,1.184346,1.241423,1.269961,1.255692,L,L,L,L,
0.050000,0,x,-1.020223,-4.231128,201.496271,0.100000,0.070000,-0.230000,-0.230000,0.118564,-0.074199,-0.020203,-0.060917,1.198615,1.198615,1.227154,1.269961,L,L,L,L,
0.050000,0,x,-1.087651,-4.270853,201.393381,0.420000,0.260000,-0.250000,-0.250000,0.050848,0.253415,0.198783,-0.048550,1.155808,2.654077,1.212885,1.255692,L,L,L,L,
0.050000,0,x,-1.119725,-4.232494,201.294016,0.590000,0.140000,-0.280000,-0.280000,0.127310,-0.098230,0.032284,-0.130895,3.581577,1.212885,1.255692,1.255692,L,L,L,L,
0.050000,0,x,-1.132822,-4.212441,201.229812,0.620000,-0.150000,-0.600000,-0.600000,0.159139,0.057079,-0.294927,-0.080500,1.198615,2.382962,2.411500,1.241423,L,L,L,L,
0.050000,0,x,-1.118587,-4.271891,201.115925,0.330000,0.060000,-0.000000,-0.000000,0.128712,-0.044564,-0.034296,-0.168676,1.184346,1.212885,1.227154,1.241423,L,L,L,L,
0.050000,0,x,-1.091518,-4.201622,201.042883,0.080000,-0.030000,0.280000,0.280000,0.208103,-0.093795,0.051765,-0.158486,1.184346,1.241423,1.227154,1.227154,L,L,L,L,
0.050000,0,x,-1.088560,-4.313364,200.944925,0.300000,0.090000,-0.230000,-0.230000,0.156325,-0.046818,0.050314,-0.216393,1.212885,1.227154,1.241423,1.255692,L,L,L,L,
0.050000,0,x,-1.128199,-4.383360,200.868850,0.350000,-0.010000,-0.250000,-0.250000,0.145750,-0.049733,0.025916,0.016181,1.184346,1.227154,1.241423,1.269961,L,L,L,L,
